"","genes"
"1","g10080"
"2","g10179"
"3","g10279"
"4","g10289"
"5","g1060"
"6","g10770"
"7","g10916"
"8","g10961"
"9","g10968"
"10","g1128"
"11","g11336"
"12","g11371"
"13","g11372"
"14","g11595"
"15","g11609"
"16","g1162"
"17","g11905"
"18","g11908"
"19","g11943"
"20","g1208"
"21","g1218"
"22","g12187"
"23","g12716"
"24","g13171"
"25","g13191"
"26","g13321"
"27","g13530"
"28","g13531"
"29","g13990"
"30","g14574"
"31","g14657"
"32","g14658"
"33","g14930"
"34","g15527"
"35","g1574"
"36","g1576"
"37","g15772"
"38","g16062"
"39","g16120"
"40","g16123"
"41","g1680"
"42","g17186"
"43","g17345"
"44","g17647"
"45","g17760"
"46","g18056"
"47","g18197"
"48","g18233"
"49","g18403"
"50","g18439"
"51","g18507"
"52","g18519"
"53","g18587"
"54","g18588"
"55","g18651"
"56","g18670"
"57","g1869"
"58","g1884"
"59","g19261"
"60","g19483"
"61","g19940"
"62","g19942"
"63","g2001"
"64","g20011"
"65","g20018"
"66","g20045"
"67","g20048"
"68","g20049"
"69","g20068"
"70","g20085"
"71","g20141"
"72","g20142"
"73","g20161"
"74","g20162"
"75","g20163"
"76","g20277"
"77","g20279"
"78","g20446"
"79","g20623"
"80","g20686"
"81","g2073"
"82","g20735"
"83","g2111"
"84","g21179"
"85","g21295"
"86","g21393"
"87","g21494"
"88","g2151"
"89","g2155"
"90","g21718"
"91","g21903"
"92","g22024"
"93","g22042"
"94","g22184"
"95","g22271"
"96","g22370"
"97","g22838"
"98","g23020"
"99","g23054"
"100","g23055"
"101","g23056"
"102","g23072"
"103","g23118"
"104","g23189"
"105","g2319"
"106","g23414"
"107","g23415"
"108","g23417"
"109","g2486"
"110","g2645"
"111","g2805"
"112","g2808"
"113","g2809"
"114","g2870"
"115","g2974"
"116","g3121"
"117","g3201"
"118","g322"
"119","g3239"
"120","g3439"
"121","g3441"
"122","g349"
"123","g3496"
"124","g3503"
"125","g354"
"126","g3671"
"127","g3672"
"128","g4055"
"129","g4056"
"130","g4057"
"131","g4224"
"132","g4590"
"133","g4593"
"134","g4767"
"135","g4800"
"136","g490"
"137","g4944"
"138","g506"
"139","g507"
"140","g5087"
"141","g5232"
"142","g5582"
"143","g5794"
"144","g5915"
"145","g6056"
"146","g6067"
"147","g6171"
"148","g6210"
"149","g6295"
"150","g6396"
"151","g650"
"152","g6525"
"153","g6646"
"154","g682"
"155","g7175"
"156","g7587"
"157","g7822"
"158","g8084"
"159","g8280"
"160","g8364"
"161","g8639"
"162","g864"
"163","g872"
"164","g88"
"165","g9061"
"166","g9062"
"167","g925"
"168","g9254"
"169","g927"
"170","g9386"
"171","g9452"
"172","g9541"
"173","g9551"
"174","g9552"
"175","g9571"
"176","g9701"
"177","g9797"
"178","g9804"
