"","gene"
"1","g11147"
"2","g1124"
"3","g1125"
"4","g1126"
"5","g1127"
"6","g11727"
"7","g11911"
"8","g12210"
"9","g13773"
"10","g13953"
"11","g14433"
"12","g14861"
"13","g15418"
"14","g1752"
"15","g17908"
"16","g18037"
"17","g18767"
"18","g20946"
"19","g21055"
"20","g2153"
"21","g22019"
"22","g22863"
"23","g23373"
"24","g2571"
"25","g2736"
"26","g3147"
"27","g4426"
"28","g5181"
"29","g5312"
"30","g5555"
"31","g5653"
"32","g5671"
"33","g627"
"34","g6708"
"35","g6828"
"36","g7913"
"37","g8501"
"38","g8748"
"39","g8749"
"40","g9431"
